state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,number_customer_service_calls,churn,churn_0_1
WV,48,area_code_408,no,no,0,275.2,67,180.2,108,159.0,110,7.9,2,1,no,0
ND,94,area_code_408,no,no,0,174.0,85,241.1,114,207.8,94,7.9,1,1,no,0
UT,139,area_code_415,no,no,0,165.0,132,249.7,86,170.3,128,12.6,8,1,no,0
MS,126,area_code_415,no,no,0,228.7,102,168.7,99,223.5,100,11.8,4,1,no,0
MN,122,area_code_415,no,no,0,107.9,88,235.8,109,228.6,119,9.5,3,2,no,0
NH,139,area_code_510,no,no,0,221.3,140,157.8,89,192.5,89,11.3,6,1,no,0
LA,95,area_code_415,no,no,0,141.1,84,211.4,108,103.7,127,5.9,6,3,no,0
ME,80,area_code_408,no,yes,31,166.4,92,238.3,74,150.7,84,10.7,4,4,no,0
KS,131,area_code_415,no,yes,28,249.6,87,227.2,138,239.9,92,7.6,3,3,no,0
KS,36,area_code_510,no,no,0,178.6,83,213.1,103,198.0,119,10.9,5,1,no,0
NV,180,area_code_510,no,no,0,139.0,96,224.9,64,170.8,118,15.7,5,2,no,0
MT,25,area_code_415,no,no,0,134.3,98,202.3,109,195.9,100,12.6,5,2,no,0
MT,113,area_code_415,no,no,0,215.9,93,240.1,85,156.7,123,4.9,5,3,no,0
AK,120,area_code_415,no,no,0,178.4,97,168.3,113,120.5,93,9.3,9,1,no,0
UT,74,area_code_415,no,no,0,106.4,84,140.2,104,90.9,81,11.4,3,1,no,0
AR,109,area_code_510,no,no,0,170.7,101,240.2,82,119.0,112,11.4,4,2,no,0
LA,162,area_code_510,no,yes,33,184.5,139,183.2,78,127.4,106,12.3,6,0,no,0
KS,124,area_code_510,no,yes,37,161.2,109,204.2,79,231.5,87,8.9,4,1,no,0
OR,177,area_code_408,no,no,0,84.9,77,257.5,109,210.5,66,7.5,5,2,no,0
WI,91,area_code_510,no,no,0,217.9,71,230.1,116,232.1,110,10.6,2,1,no,0
KS,24,area_code_510,no,no,0,243.0,91,183.9,77,184.3,109,15.3,6,0,yes,1
IL,48,area_code_510,no,no,0,128.2,71,48.1,78,116.3,80,8.9,3,0,no,0
IA,86,area_code_408,no,no,0,126.3,115,168.8,112,154.6,95,9.8,7,2,no,0
AZ,163,area_code_510,no,no,0,178.7,56,215.7,79,152.7,84,10.6,2,4,no,0
NE,91,area_code_510,no,no,0,159.0,109,255.1,142,82.4,73,10.1,4,0,no,0
ID,56,area_code_510,no,no,0,150.9,79,161.8,87,167.7,115,11.7,5,3,no,0
OH,147,area_code_415,yes,yes,24,219.9,118,208.5,116,352.5,111,8.1,4,3,no,0
TX,64,area_code_415,no,no,0,168.0,116,192.4,94,166.5,98,10.1,3,2,no,0
TN,108,area_code_510,no,yes,34,162.1,83,171.8,117,259.8,76,9.6,3,4,yes,1
OK,159,area_code_510,no,no,0,198.8,107,195.5,91,213.3,120,16.5,7,5,no,0
ND,136,area_code_510,yes,no,0,256.8,90,230.1,104,143.6,82,9.1,10,3,no,0
NC,45,area_code_408,no,yes,38,196.8,92,254.2,108,261.8,85,7.7,2,1,no,0
MN,122,area_code_415,no,no,0,140.1,120,231.4,128,188.1,127,11.2,5,2,no,0
MN,138,area_code_415,no,no,0,194.3,83,189.9,97,232.2,102,9.0,3,5,no,0
MA,132,area_code_415,no,no,0,117.6,66,214.0,108,239.5,94,8.8,5,1,no,0
PA,101,area_code_415,yes,no,0,193.7,108,186.6,98,223.0,100,11.6,8,0,no,0
GA,58,area_code_510,no,no,0,243.1,105,231.4,108,180.9,120,7.8,4,2,no,0
NV,81,area_code_415,no,no,0,145.4,132,129.3,91,186.4,109,5.2,4,1,no,0
ME,116,area_code_510,no,no,0,229.3,93,184.5,111,168.2,91,8.8,3,2,no,0
MN,62,area_code_510,no,yes,33,186.4,84,201.0,136,286.7,103,11.1,3,2,yes,1
NH,90,area_code_415,no,no,0,76.1,121,290.3,73,236.9,89,10.8,3,0,no,0
TN,98,area_code_415,no,no,0,162.8,65,185.0,109,219.5,104,6.0,3,2,no,0
UT,73,area_code_415,no,no,0,182.3,115,199.2,97,120.2,113,18.0,5,1,no,0
RI,107,area_code_510,yes,no,0,194.4,83,247.8,84,245.4,93,11.2,7,2,no,0
NH,55,area_code_408,no,yes,20,189.3,95,118.6,113,250.2,102,12.5,4,2,no,0
AK,76,area_code_415,no,yes,22,160.1,107,168.7,136,23.2,102,9.5,4,3,no,0
NC,30,area_code_510,no,no,0,145.0,76,240.7,112,197.1,134,7.1,4,3,no,0
AZ,157,area_code_415,no,no,0,220.7,105,119.3,127,165.1,113,11.5,7,4,no,0
MA,40,area_code_408,no,yes,31,224.7,69,134.5,81,120.3,104,7.5,5,1,yes,1
TN,72,area_code_408,no,no,0,147.0,79,162.3,103,162.9,80,10.5,4,1,no,0
WY,95,area_code_415,no,yes,39,260.8,130,213.4,111,195.6,97,10.1,5,1,no,0
IA,42,area_code_415,no,no,0,155.4,127,164.1,45,157.7,128,9.0,3,0,no,0
IN,86,area_code_415,no,no,0,166.2,112,255.3,81,228.1,97,5.4,7,1,no,0
NJ,131,area_code_415,no,no,0,211.8,115,260.5,102,144.2,96,10.8,7,0,no,0
MT,74,area_code_415,no,no,0,162.7,102,292.0,105,183.3,80,8.7,6,0,no,0
ND,81,area_code_408,yes,yes,37,237.1,76,264.2,125,271.3,120,7.9,3,1,no,0
MI,81,area_code_408,no,no,0,166.2,102,217.6,112,220.2,68,13.2,2,4,no,0
MT,28,area_code_415,no,no,0,121.7,48,125.8,112,261.6,122,8.3,2,6,yes,1
AL,111,area_code_510,no,no,0,176.4,62,201.0,124,150.4,138,11.2,2,0,no,0
NV,3,area_code_510,no,yes,27,67.4,116,244.0,78,281.1,93,11.4,2,2,no,0
MI,51,area_code_415,no,no,0,229.7,129,336.0,104,192.8,128,9.6,1,1,yes,1
FL,68,area_code_415,no,yes,24,176.0,118,277.9,116,174.7,71,14.7,7,1,no,0
NY,163,area_code_408,no,no,0,247.7,77,269.5,108,167.3,82,9.6,7,0,yes,1
KS,87,area_code_510,no,no,0,115.4,90,262.6,68,245.7,69,13.1,5,2,no,0
NC,58,area_code_510,no,no,0,112.2,95,209.6,108,260.9,78,13.9,1,0,yes,1
MN,109,area_code_408,no,no,0,162.6,138,154.0,109,209.7,118,11.5,4,0,no,0
RI,111,area_code_415,no,no,0,229.4,107,214.1,99,289.6,95,10.4,6,4,no,0
UT,144,area_code_415,no,no,0,139.6,96,124.2,93,95.6,75,15.0,4,2,no,0
OR,135,area_code_415,no,no,0,263.8,66,251.3,116,200.1,112,8.4,2,5,yes,1
IL,107,area_code_415,no,yes,14,114.3,132,199.8,91,194.7,74,7.5,8,1,no,0
OH,149,area_code_408,no,no,0,196.3,108,136.8,96,154.7,87,7.7,3,2,no,0
MA,56,area_code_510,no,no,0,253.2,95,188.0,116,142.0,133,4.4,4,1,no,0
OR,129,area_code_408,no,no,0,98.0,99,240.7,62,254.8,123,10.5,4,0,no,0
CA,92,area_code_408,no,no,0,249.4,118,211.5,95,169.0,116,9.1,3,0,no,0
WV,67,area_code_415,no,yes,30,129.6,107,233.0,104,297.0,93,14.5,5,1,no,0
VT,120,area_code_415,no,no,0,221.3,106,267.6,98,111.5,80,9.3,7,0,no,0
ID,166,area_code_415,no,no,0,220.7,106,177.8,118,206.1,102,12.4,9,1,no,0
OR,66,area_code_408,no,no,0,87.6,76,262.0,111,184.6,125,9.2,5,1,no,0
GA,76,area_code_408,no,no,0,203.6,61,161.7,127,175.9,97,8.4,3,0,no,0
ME,79,area_code_415,no,no,0,213.6,110,234.9,121,229.6,157,8.8,3,2,no,0
HI,98,area_code_415,no,yes,31,181.6,112,220.7,100,236.3,121,12.9,4,2,no,0
AZ,141,area_code_510,no,yes,22,215.4,123,328.7,98,160.5,89,7.8,6,1,no,0
IA,46,area_code_510,no,no,0,199.2,111,175.1,83,210.6,84,10.2,2,3,no,0
CT,137,area_code_415,no,no,0,115.0,130,137.8,83,224.0,61,7.3,4,3,no,0
WA,171,area_code_408,no,no,0,270.5,69,230.0,112,136.0,111,9.6,5,1,yes,1
VA,10,area_code_415,no,no,0,222.2,127,153.1,125,227.4,80,12.9,4,1,no,0
CO,88,area_code_510,no,no,0,61.9,78,262.6,114,212.5,110,8.8,2,3,no,0
LA,89,area_code_415,no,no,0,141.1,92,249.1,126,136.0,73,10.8,2,2,no,0
TX,82,area_code_415,no,no,0,189.2,81,184.4,117,255.8,83,10.6,5,3,yes,1
SD,139,area_code_510,no,no,0,196.0,135,186.0,146,153.0,92,9.8,1,3,no,0
VA,87,area_code_415,no,no,0,171.6,119,205.0,107,170.6,114,13.8,4,0,no,0
NY,137,area_code_415,yes,no,0,174.0,123,161.3,115,260.7,98,11.4,3,2,no,0
WA,45,area_code_510,no,no,0,78.6,106,187.3,110,184.2,111,7.4,5,1,yes,1
WI,90,area_code_415,no,no,0,200.9,92,164.3,91,249.0,98,8.9,7,1,no,0
TN,103,area_code_415,no,no,0,141.3,123,253.6,87,215.8,96,6.4,2,1,no,0
CT,100,area_code_415,no,no,0,235.8,130,176.0,69,63.6,122,7.3,1,2,no,0
WA,110,area_code_510,no,no,0,185.1,100,165.1,88,111.6,104,6.3,4,3,no,0
NH,124,area_code_415,no,no,0,254.3,113,78.9,104,153.2,69,11.8,2,2,no,0
MT,10,area_code_510,no,no,0,183.0,103,214.8,77,206.4,73,8.7,6,2,no,0
NE,89,area_code_415,no,yes,29,163.5,80,274.8,136,381.9,147,7.5,5,2,no,0
WA,121,area_code_408,no,no,0,207.9,98,210.5,96,109.6,114,7.7,2,2,no,0
WI,101,area_code_415,no,no,0,248.6,102,174.9,93,207.2,86,6.1,3,3,no,0
AR,103,area_code_415,no,yes,31,185.4,105,197.6,126,147.1,110,14.5,4,2,no,0
WI,51,area_code_408,no,no,0,197.8,60,221.0,64,168.6,134,8.9,5,1,no,0
DE,2,area_code_415,yes,no,0,132.1,42,138.9,88,192.6,119,9.1,1,2,yes,1
NH,111,area_code_510,no,no,0,197.1,117,227.8,128,214.0,101,9.3,11,0,no,0
VA,118,area_code_415,no,no,0,154.6,112,184.2,105,217.4,102,12.6,5,2,no,0
ID,193,area_code_415,no,no,0,96.8,92,142.6,103,210.1,115,10.9,5,2,yes,1
TN,114,area_code_510,no,no,0,172.0,145,276.4,101,193.7,100,10.1,9,1,no,0
MT,185,area_code_408,no,yes,29,151.1,121,244.7,88,154.4,91,13.8,2,2,no,0
OK,101,area_code_408,no,no,0,209.6,107,228.8,96,172.4,85,7.6,2,3,no,0
ID,95,area_code_415,no,yes,32,247.0,109,125.6,91,226.5,90,10.5,4,3,no,0
NV,7,area_code_408,no,yes,30,221.4,114,165.8,116,247.0,105,10.8,12,1,no,0
KS,126,area_code_408,no,no,0,321.3,99,167.9,93,193.6,106,8.0,4,1,yes,1
WY,71,area_code_415,no,no,0,243.7,124,60.0,90,189.0,129,11.3,2,0,no,0
MS,124,area_code_415,no,no,0,251.5,85,214.2,98,186.1,71,11.1,6,3,no,0
WY,97,area_code_510,yes,no,0,236.9,107,157.6,105,241.0,120,7.3,2,0,yes,1
TX,28,area_code_415,no,no,0,159.7,79,216.7,131,206.7,116,9.3,3,2,no,0
WA,90,area_code_415,yes,no,0,148.2,96,220.4,111,134.2,97,9.2,1,4,yes,1
HI,190,area_code_408,no,no,0,150.9,86,268.6,129,179.9,73,14.7,1,1,no,0
IL,31,area_code_415,no,yes,28,210.5,101,250.5,86,241.6,125,11.5,2,1,no,0
MD,73,area_code_510,no,no,0,254.7,80,90.2,79,153.4,60,10.6,8,0,no,0
MA,111,area_code_415,no,no,0,284.4,89,157.0,113,242.8,91,8.4,8,0,yes,1
SD,98,area_code_415,no,no,0,0.0,0,159.6,130,167.1,88,6.8,1,4,yes,1
PA,106,area_code_408,yes,no,0,133.7,45,187.8,107,181.9,89,10.7,2,1,yes,1
NC,111,area_code_408,no,no,0,224.9,117,191.9,127,229.9,97,10.3,3,0,no,0
VT,59,area_code_408,no,no,0,151.8,98,209.9,92,266.9,86,11.9,5,1,no,0
KY,71,area_code_510,no,yes,22,141.4,107,163.0,105,220.0,99,5.6,3,2,no,0
WA,55,area_code_408,no,no,0,285.7,124,230.9,106,230.7,140,14.8,7,0,yes,1
LA,13,area_code_415,no,no,0,58.4,121,262.2,64,159.0,115,11.9,5,1,no,0
WA,136,area_code_415,no,yes,16,90.4,105,201.3,109,227.1,115,13.1,4,0,no,0
ME,123,area_code_408,no,no,0,114.4,91,216.6,123,250.6,102,11.0,3,0,no,0
WI,105,area_code_408,no,no,0,147.7,103,222.7,78,163.5,102,12.8,3,2,no,0
TX,50,area_code_408,no,yes,31,302.7,93,240.5,119,193.9,103,13.6,14,3,no,0
AZ,97,area_code_408,no,no,0,169.7,84,165.9,86,191.9,83,12.8,6,3,no,0
ND,51,area_code_510,no,no,0,227.2,89,194.4,106,243.4,126,14.9,2,0,no,0
VT,73,area_code_415,no,no,0,217.8,91,220.6,97,277.3,89,10.3,6,1,yes,1
HI,35,area_code_415,no,no,0,124.2,102,123.9,115,135.7,100,13.1,8,2,no,0
WY,64,area_code_415,no,no,0,206.2,76,232.4,76,251.6,96,13.6,2,1,no,0
WV,63,area_code_510,no,no,0,132.9,122,67.0,62,160.4,121,9.9,2,3,no,0
OK,117,area_code_415,no,yes,31,104.9,115,237.6,125,263.4,104,7.7,6,3,no,0
CT,115,area_code_415,no,no,0,245.0,97,250.7,75,270.2,124,13.7,8,1,yes,1
UT,162,area_code_408,no,no,0,184.5,118,224.0,95,180.5,82,11.6,3,1,no,0
NY,89,area_code_415,no,no,0,89.5,66,179.3,104,225.1,116,12.3,1,3,no,0
VA,94,area_code_415,yes,no,0,235.6,131,194.8,107,170.6,93,8.6,4,1,no,0
VT,129,area_code_408,no,no,0,186.0,127,262.3,96,98.9,63,11.5,6,4,no,0
SD,86,area_code_415,no,no,0,223.9,75,155.7,109,150.2,143,7.3,9,1,no,0
PA,96,area_code_510,no,no,0,179.5,125,162.3,139,264.5,133,6.6,2,1,no,0
ND,190,area_code_415,no,no,0,169.4,102,253.5,113,197.1,93,8.9,5,1,no,0
CT,80,area_code_408,no,no,0,118.1,90,144.3,77,225.1,86,8.2,6,1,no,0
SC,108,area_code_415,no,no,0,112.0,105,193.7,110,208.9,93,4.1,4,4,yes,1
MI,97,area_code_408,no,yes,32,168.4,129,225.9,97,191.8,95,8.5,7,0,no,0
VT,84,area_code_415,no,yes,42,214.3,112,188.2,107,333.5,117,11.3,10,0,no,0
OH,65,area_code_415,no,no,0,245.7,139,241.9,113,285.3,117,4.2,5,4,yes,1
IL,58,area_code_415,yes,yes,43,142.8,96,272.3,100,193.4,105,8.9,4,1,no,0
MO,36,area_code_415,no,no,0,202.4,115,230.7,115,202.0,127,10.2,2,3,no,0
WI,54,area_code_415,no,no,0,116.8,119,123.1,123,217.5,101,12.0,2,1,no,0
NJ,45,area_code_510,no,no,0,155.7,110,260.3,103,192.2,98,11.0,1,1,no,0
VT,72,area_code_415,no,yes,21,138.1,113,260.1,83,135.4,118,8.2,2,2,no,0
CT,141,area_code_408,no,no,0,51.9,108,162.0,83,223.5,115,10.1,3,3,no,0
SD,20,area_code_415,no,yes,35,171.5,98,153.1,127,165.6,125,7.1,3,0,no,0
OH,94,area_code_510,no,no,0,194.1,62,227.2,54,190.4,115,15.3,4,1,no,0
NY,40,area_code_510,no,no,0,115.7,105,127.8,113,107.5,91,9.3,6,1,no,0
OK,101,area_code_415,no,no,0,269.7,85,207.6,86,214.2,107,4.5,15,3,yes,1
NC,170,area_code_415,no,no,0,246.4,107,228.1,124,166.4,95,9.1,8,0,no,0
HI,105,area_code_510,no,no,0,227.4,121,268.5,89,143.3,82,13.0,4,1,no,0
UT,103,area_code_415,no,no,0,189.8,110,115.5,83,191.3,103,12.2,4,0,no,0
MD,140,area_code_415,yes,yes,27,188.9,124,160.9,102,197.7,100,11.5,5,4,no,0
VT,101,area_code_510,no,no,0,0.0,0,192.1,119,168.8,95,7.2,4,1,no,0
TX,98,area_code_408,no,yes,19,110.5,87,227.8,97,243.6,84,11.0,4,1,no,0
AZ,104,area_code_408,no,no,0,167.6,116,219.2,112,215.9,94,11.7,2,4,no,0
VA,115,area_code_415,no,no,0,132.0,90,197.5,75,175.8,114,0.0,0,3,no,0
NE,70,area_code_415,no,no,0,213.4,86,204.7,77,256.6,101,5.7,4,1,no,0
KY,126,area_code_510,no,no,0,175.4,120,98.3,71,201.9,93,10.6,1,0,no,0
NV,87,area_code_510,no,yes,39,82.6,113,224.4,63,163.6,88,9.5,1,3,no,0
MT,125,area_code_510,no,no,0,143.2,80,88.1,94,233.2,135,8.8,7,4,yes,1
MO,86,area_code_415,no,no,0,125.5,139,269.8,93,235.8,110,8.9,8,1,no,0
MS,73,area_code_415,no,yes,31,82.3,105,256.1,91,229.6,98,11.8,2,6,yes,1
NM,232,area_code_408,no,no,0,165.6,104,195.9,115,118.3,77,11.8,3,1,no,0
NH,133,area_code_408,no,no,0,162.1,91,212.1,94,260.4,78,12.2,5,1,no,0
NC,103,area_code_510,no,no,0,166.6,84,192.4,91,167.9,115,7.7,6,1,no,0
MT,131,area_code_415,no,yes,24,135.9,60,233.2,78,210.6,121,9.4,4,1,no,0
SD,95,area_code_408,no,yes,20,165.7,78,215.6,94,243.3,91,9.8,6,0,no,0
VA,182,area_code_415,no,no,0,176.1,90,174.9,106,234.7,134,9.7,4,1,no,0
LA,99,area_code_510,no,no,0,142.3,89,204.5,95,203.1,114,9.1,1,0,no,0
AK,141,area_code_408,no,no,0,83.2,74,190.6,104,150.5,79,10.7,7,1,no,0
OH,29,area_code_415,yes,yes,37,235.0,101,183.3,79,139.8,106,5.7,7,2,no,0
NM,65,area_code_415,no,no,0,105.7,95,141.8,100,180.5,105,6.6,12,2,no,0
MI,81,area_code_415,yes,no,0,149.4,68,171.9,98,214.5,97,17.9,3,3,yes,1
MN,37,area_code_415,no,yes,20,264.7,81,216.5,110,210.7,102,10.4,7,0,no,0
WY,107,area_code_510,no,yes,31,160.3,45,221.5,70,261.6,109,5.6,1,1,no,0
WY,127,area_code_415,yes,yes,28,95.9,117,159.5,131,152.8,132,10.4,3,1,no,0
WA,78,area_code_408,no,no,0,140.7,77,195.2,114,252.9,107,11.7,5,0,no,0
NM,55,area_code_510,no,no,0,119.7,148,231.8,96,222.3,113,4.6,2,2,no,0
VA,86,area_code_415,no,yes,30,99.9,84,263.5,125,254.7,90,9.8,7,2,no,0
RI,176,area_code_415,no,no,0,250.9,108,171.4,100,148.6,85,9.6,6,2,no,0
AL,96,area_code_415,yes,no,0,200.6,117,289.5,120,98.3,95,11.2,5,2,no,0
WV,11,area_code_510,no,yes,38,209.8,130,196.6,84,233.0,79,7.0,7,1,no,0
WV,48,area_code_415,no,yes,34,198.0,70,273.7,121,217.9,71,7.6,4,1,no,0
NJ,127,area_code_510,no,no,0,239.8,107,128.9,121,249.9,110,11.3,5,1,no,0
MI,79,area_code_510,no,no,0,220.9,107,192.2,97,161.0,74,12.2,2,1,no,0
MI,83,area_code_510,no,yes,26,226.4,117,234.7,97,133.6,82,10.8,7,1,no,0
ND,60,area_code_510,no,no,0,203.2,99,235.8,131,224.9,112,15.1,6,2,no,0
VT,122,area_code_415,no,no,0,136.7,115,243.1,137,188.9,110,8.6,4,0,no,0
WA,136,area_code_408,no,no,0,152.6,97,208.9,85,119.1,99,5.0,10,1,no,0
NC,172,area_code_408,no,yes,47,274.9,102,186.6,118,245.0,123,8.8,2,1,no,0
WV,79,area_code_415,no,no,0,222.3,99,146.2,82,275.6,82,8.9,4,3,no,0
ID,55,area_code_510,no,yes,8,222.5,104,171.5,94,377.5,114,9.7,2,1,no,0
LA,111,area_code_415,no,yes,28,128.8,104,157.3,52,147.4,76,10.3,2,2,no,0
GA,160,area_code_415,no,no,0,174.3,105,171.3,107,220.8,131,8.3,2,0,no,0
FL,110,area_code_415,no,no,0,242.5,110,162.3,140,184.1,86,7.8,3,4,no,0
CO,192,area_code_415,no,no,0,221.6,101,285.2,50,167.4,83,12.7,6,4,no,0
NV,93,area_code_408,no,no,0,114.3,100,221.1,103,126.3,88,10.9,9,0,no,0
VA,77,area_code_510,no,no,0,144.9,136,151.3,115,252.4,73,12.3,3,2,no,0
UT,105,area_code_415,no,yes,40,236.5,111,117.0,110,221.1,115,8.1,3,2,no,0
UT,133,area_code_408,no,yes,44,174.0,80,209.4,113,224.1,87,14.1,7,2,yes,1
MO,131,area_code_408,no,no,0,109.5,95,332.1,48,258.6,108,6.6,7,1,no,0
HI,118,area_code_415,no,no,0,133.4,113,121.0,92,254.7,129,5.9,4,1,no,0
MD,125,area_code_408,no,no,0,137.1,94,209.8,83,238.4,114,8.6,4,1,no,0
VA,95,area_code_415,no,no,0,197.0,88,190.4,68,211.9,104,16.1,8,0,no,0
MT,80,area_code_415,no,no,0,198.1,160,156.7,87,182.1,76,9.3,3,3,no,0
SC,145,area_code_408,no,no,0,39.5,78,264.3,106,185.8,90,10.0,6,0,no,0
CO,37,area_code_408,no,no,0,199.5,107,207.5,110,83.9,123,8.1,4,2,no,0
ID,87,area_code_415,no,no,0,156.8,93,215.8,68,223.3,77,7.6,6,1,no,0
UT,195,area_code_415,no,no,0,63.2,108,220.2,88,184.0,99,5.1,3,0,no,0
RI,123,area_code_415,no,yes,27,218.7,79,163.4,78,173.8,116,15.0,1,0,no,0
FL,41,area_code_415,no,yes,41,207.3,95,137.3,120,115.7,74,5.9,3,1,no,0
MD,76,area_code_415,yes,no,0,273.3,66,263.6,121,165.2,84,12.0,7,1,yes,1
IL,86,area_code_415,yes,no,0,266.1,120,182.0,92,206.5,103,10.3,4,1,no,0
PA,140,area_code_408,no,no,0,112.8,89,156.7,65,249.6,85,16.3,6,0,no,0
AZ,70,area_code_415,no,no,0,104.7,112,82.2,104,169.4,110,15.8,7,3,no,0
NH,121,area_code_510,no,yes,35,193.8,62,197.6,97,218.8,95,5.9,4,0,no,0
RI,112,area_code_415,no,no,0,168.6,102,298.0,117,194.7,110,9.8,5,1,no,0
HI,118,area_code_415,no,no,0,253.2,122,201.0,78,195.3,108,9.7,7,2,no,0
NJ,66,area_code_415,no,yes,16,174.7,92,232.1,105,305.4,98,8.9,2,1,no,0
MD,129,area_code_415,no,yes,34,204.5,79,132.8,113,190.1,117,14.8,9,2,no,0
OR,6,area_code_408,no,no,0,226.5,93,152.1,122,164.4,98,9.4,4,3,no,0
NV,107,area_code_510,yes,no,0,234.1,91,163.1,105,282.5,100,10.0,3,1,no,0
AR,107,area_code_415,yes,no,0,133.3,106,182.9,89,241.1,123,12.9,2,3,yes,1
MT,138,area_code_415,no,no,0,133.9,87,166.4,110,193.5,139,15.4,3,1,no,0
CT,103,area_code_510,no,no,0,160.2,104,138.9,70,312.5,97,9.7,2,0,no,0
UT,116,area_code_415,no,yes,44,230.6,94,224.1,103,244.0,76,11.1,2,0,no,0
NV,161,area_code_415,no,no,0,72.8,120,267.1,120,222.5,91,11.8,2,2,no,0
TN,1,area_code_415,no,no,0,196.1,107,296.5,82,211.5,91,7.0,2,1,no,0
DE,89,area_code_408,no,no,0,197.1,110,165.9,115,227.3,106,12.8,3,1,no,0
NY,64,area_code_408,no,no,0,219.6,126,303.3,100,154.5,65,9.7,5,1,no,0
IA,129,area_code_415,no,no,0,216.0,85,186.9,114,210.7,109,4.9,10,2,no,0
VT,128,area_code_510,no,yes,32,222.9,136,262.0,80,191.4,101,10.8,4,0,no,0
LA,81,area_code_415,no,yes,36,115.9,120,236.6,95,255.0,90,11.7,6,3,no,0
MT,114,area_code_510,no,no,0,189.8,101,147.7,80,172.7,121,10.6,5,1,no,0
WV,86,area_code_415,no,no,0,136.4,104,202.5,110,230.7,86,11.5,1,3,no,0
ID,96,area_code_408,no,no,0,170.5,86,277.5,88,162.5,117,12.2,6,1,no,0
AZ,72,area_code_510,no,no,0,272.4,88,107.9,125,185.5,81,12.7,2,0,no,0
SC,64,area_code_510,no,yes,40,210.0,116,232.7,89,168.8,94,5.9,4,8,no,0
OH,65,area_code_510,no,no,0,153.9,117,220.1,122,280.5,147,8.5,3,2,no,0
MD,136,area_code_415,no,no,0,252.4,74,167.9,81,248.3,110,10.7,3,2,no,0
MN,116,area_code_408,no,no,0,197.9,84,168.1,113,239.8,145,12.0,6,1,no,0
NE,93,area_code_408,no,no,0,152.4,74,274.6,88,252.2,120,6.6,5,3,no,0
MN,142,area_code_510,no,yes,40,237.4,105,175.9,93,210.3,110,9.2,3,3,no,0
NY,92,area_code_408,no,no,0,265.6,82,180.7,75,211.1,113,8.6,2,1,no,0
HI,70,area_code_415,no,no,0,197.3,91,305.8,81,171.0,105,6.7,6,1,no,0
MO,22,area_code_408,no,yes,14,199.1,100,221.8,103,65.7,91,4.2,1,1,no,0
NV,37,area_code_415,no,no,0,233.7,114,207.9,109,212.7,101,12.0,2,2,no,0
MA,51,area_code_415,no,no,0,183.1,99,160.1,107,311.8,121,7.0,3,1,no,0
FL,130,area_code_415,no,no,0,207.1,70,200.1,115,194.2,100,12.4,2,1,no,0
WA,104,area_code_415,no,no,0,139.7,78,202.6,119,203.6,102,11.3,5,2,no,0
CT,134,area_code_408,no,no,0,177.2,91,228.7,105,194.3,113,8.9,3,2,no,0
KY,108,area_code_415,no,yes,35,169.8,136,173.7,101,214.6,105,9.5,7,2,no,0
NM,103,area_code_415,no,no,0,173.5,83,244.3,65,221.6,66,9.7,2,3,no,0
ND,62,area_code_510,no,no,0,159.9,100,172.2,99,263.2,109,5.6,4,1,no,0
NV,162,area_code_415,no,no,0,115.1,89,196.8,111,212.4,98,11.4,3,2,no,0
ID,42,area_code_415,no,no,0,92.2,108,211.2,120,129.1,73,13.1,6,1,no,0
IA,36,area_code_510,no,no,0,117.1,94,235.4,117,221.3,108,9.0,2,0,no,0
OH,143,area_code_415,no,no,0,223.3,99,167.1,128,203.0,84,4.5,4,0,yes,1
NJ,197,area_code_510,no,no,0,154.8,111,171.5,102,227.3,86,10.6,2,3,no,0
IA,81,area_code_510,no,no,0,261.4,141,215.7,102,271.8,96,8.0,6,1,yes,1
DE,138,area_code_510,yes,no,0,46.5,104,186.0,114,167.5,95,9.6,4,4,yes,1
CA,103,area_code_415,no,yes,18,149.9,84,170.9,84,171.5,112,11.5,7,0,yes,1
WY,127,area_code_510,yes,no,0,242.2,102,226.1,80,252.0,96,13.9,5,2,yes,1
ME,99,area_code_415,no,no,0,222.4,102,185.8,89,237.7,81,12.0,8,2,no,0
AR,95,area_code_415,no,no,0,69.4,79,190.8,109,219.9,102,8.9,5,0,no,0
WV,113,area_code_415,no,no,0,61.2,111,92.3,88,197.4,114,13.7,3,5,yes,1
PA,128,area_code_408,yes,no,0,245.2,112,101.5,101,152.3,116,10.7,5,0,no,0
DC,81,area_code_510,yes,no,0,227.4,105,211.5,120,258.2,113,11.9,3,0,no,0
AR,57,area_code_510,no,no,0,192.8,68,158.0,86,235.5,105,12.7,6,1,no,0
MS,140,area_code_408,no,no,0,162.6,98,206.2,109,141.6,66,8.2,2,1,no,0
MD,102,area_code_415,no,no,0,271.1,80,172.0,133,169.2,105,10.3,5,1,no,0
CT,107,area_code_408,no,no,0,103.4,94,189.3,125,227.2,125,14.4,3,1,no,0
SC,106,area_code_408,no,no,0,52.2,106,220.1,113,112.3,95,11.4,2,2,no,0
MI,225,area_code_415,no,no,0,165.4,106,273.7,109,210.0,93,8.7,3,0,yes,1
SD,75,area_code_408,no,no,0,147.5,110,191.7,97,135.0,68,16.4,3,2,no,0
CO,86,area_code_415,no,no,0,217.8,93,214.7,95,228.7,70,11.3,7,0,no,0
